timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1671080610730,134,Index Post-0,301,Moved Permanently,Thread Group 1-12,,true,,192,276,500,500,http://reservasmedicas-production.up.railway.app/signin,134,0,0
1671080610864,2698,Index Post-1,200,OK,Thread Group 1-12,text,true,,4245,152,500,500,https://reservasmedicas-production.up.railway.app/signin,136,0,0
1671080610736,2831,Index Post,200,OK,Thread Group 1-324,text,true,,4414,428,500,500,https://reservasmedicas-production.up.railway.app/signin,135,0,0
1671080610736,135,Index Post-0,301,Moved Permanently,Thread Group 1-324,,true,,192,276,500,500,http://reservasmedicas-production.up.railway.app/signin,135,0,0
1671080610871,2696,Index Post-1,200,OK,Thread Group 1-324,text,true,,4222,152,500,500,https://reservasmedicas-production.up.railway.app/signin,135,0,0
1671080610741,2832,Index Post,200,OK,Thread Group 1-192,text,true,,4420,428,500,500,https://reservasmedicas-production.up.railway.app/signin,134,0,0
1671080610741,134,Index Post-0,301,Moved Permanently,Thread Group 1-192,,true,,192,276,500,500,http://reservasmedicas-production.up.railway.app/signin,134,0,0
1671080610875,2698,Index Post-1,200,OK,Thread Group 1-192,text,true,,4228,152,500,500,https://reservasmedicas-production.up.railway.app/signin,137,0,0
1671080610746,2835,Index Post,200,OK,Thread Group 1-32,text,true,,4435,428,500,500,https://reservasmedicas-production.up.railway.app/signin,135,0,0
1671080610746,135,Index Post-0,301,Moved Permanently,Thread Group 1-32,,true,,192,276,500,500,http://reservasmedicas-production.up.railway.app/signin,135,0,0
1671080610881,2700,Index Post-1,200,OK,Thread Group 1-32,text,true,,4243,152,500,500,https://reservasmedicas-production.up.railway.app/signin,137,0,0
1671080610753,2834,Index,200,OK,Thread Group 1-97,text,true,,3865,292,500,500,https://reservasmedicas-production.up.railway.app/,133,0,0
1671080610753,133,Index-0,301,Moved Permanently,Thread Group 1-97,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,133,0,0
1671080610886,2701,Index-1,200,OK,Thread Group 1-97,text,true,,3698,146,500,500,https://reservasmedicas-production.up.railway.app/,138,0,0
1671080610758,2835,Index,200,OK,Thread Group 1-210,text,true,,3865,292,500,500,https://reservasmedicas-production.up.railway.app/,133,0,0
1671080610758,133,Index-0,301,Moved Permanently,Thread Group 1-210,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,133,0,0
1671080610891,2702,Index-1,200,OK,Thread Group 1-210,text,true,,3698,146,500,500,https://reservasmedicas-production.up.railway.app/,138,0,0
1671080610763,2836,Index,200,OK,Thread Group 1-204,text,true,,3858,292,500,500,https://reservasmedicas-production.up.railway.app/,134,0,0
1671080610763,134,Index-0,301,Moved Permanently,Thread Group 1-204,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,134,0,0
1671080610897,2702,Index-1,200,OK,Thread Group 1-204,text,true,,3691,146,500,500,https://reservasmedicas-production.up.railway.app/,137,0,0
1671080610768,2837,Index,200,OK,Thread Group 1-217,text,true,,3867,292,500,500,https://reservasmedicas-production.up.railway.app/,135,0,0
1671080610768,135,Index-0,301,Moved Permanently,Thread Group 1-217,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,135,0,0
1671080610903,2702,Index-1,200,OK,Thread Group 1-217,text,true,,3700,146,500,500,https://reservasmedicas-production.up.railway.app/,137,0,0
